book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
1520	Vadanya	"Pauling, Chris"		Introducing Buddhism		1993	Windhorse Publications	Glasgow		Triratna books	TRI	VAD	INT   	buddhism; introduction	Introduction to essential teachings and practices on which all mainstream Buddhists can agree and shows the relevant to modern Western society		0-904766-63-2	Paperback book	1	
1521	Vadanya	"Pauling, Chris"		Iniciacion al Budismo		1993	Fundacion Tres Joyas	Spain		Triratna books	TRI	VAD	INT Sp	buddhism; introduction; Spain	Spanish introduction to essential teachings and practices on which all mainstream Buddhists can agree and shows the relevant to modern Western society		84-88768-02-8	Paperback book	1	
1522	Various			Vangisa: 1st July 1927- 24th January 1981		1981				Triratna books	TRI	VAR	VAN	FWBO; triratna; order member; obituary; poetry	"Vangisa  (Terence O'Regan) was one of the founding members of the FWBO.  This booklet is a collection of pieces written by various order members as an act of dedication and in memory of him, with a foreword from Sangharakshita. It includes some of Vangisa's correspondence and Bhante and some of his poetry"			Booklet	1	
1523	Vessantara			The Friends of the Western Buddhist Order: An Introduction		1988	Windhorse Publications	Glasgow		Triratna books	TRI	VES	FRI	FWBO; triratna; history	Booklet introducing the FWBO as it was  in 1988 focusing on: Buddhism itself; the FWBO; meditation techniques; physical disciplines; study groups; retreats; communities; co-operative businness; social welfare projects	One copy contains a leaflet providing a brief history of Sangharakshita's  going for refuge	0-904766-38-1	Booklet	1	
1524	Vessantara			The Friends of the Western Buddhist Order: An Introduction		1988	Windhorse Publications	Glasgow		Triratna books	TRI	VES	FRI	FWBO; triratna; history	Booklet introducing the FWBO as it was  in 1988 focusing on: Buddhism itself; the FWBO; meditation techniques; physical disciplines; study groups; retreats; communities; co-operative businness; social welfare projects	One copy contains a leaflet providing a brief history of Sangharakshita's  going for refuge	0-904766-38-1	Booklet	1	
1525	Vessantara			The Friends of the Western Buddhist Order: An Introduction		1996	Windhorse Publications	Birmingham		Triratna books	TRI	VES	FRI	FWBO; triratna; history	Booklet introducing the FWBO as it was  in 1988 focusing on: Buddhism itself; the FWBO; meditation techniques; physical disciplines; study groups; retreats; communities; co-operative businness; social welfare projects		1-899579-22-2	Booklet	1	
1526	Vessantara			The Friends of the Western Buddhist Order: An Introduction		1996	Windhorse Publications	Birmingham		Triratna books	TRI	VES	FRI	FWBO; triratna; history	Booklet introducing the FWBO as it was  in 1988 focusing on: Buddhism itself; the FWBO; meditation techniques; physical disciplines; study groups; retreats; communities; co-operative businness; social welfare projects		1-899579-22-2	Booklet	1	
1527	Vessantara			The Friends of the Western Buddhist Order: An Introduction		1996	Windhorse Publications	Birmingham		Triratna books	TRI	VES	FRI	FWBO; triratna; history	Booklet introducing the FWBO as it was  in 1988 focusing on: Buddhism itself; the FWBO; meditation techniques; physical disciplines; study groups; retreats; communities; co-operative businness; social welfare projects		1-899579-22-2	Booklet	1	
1528	Vessantara; Kamalashila; Nagabodi; Subhuti			Meditation and the Transformation of Mind		1995	Windhorse Publications	Birmingham		Triratna books	TRI	VES	MED	FWBO; triratna; meditation	An introduction to meditation focusing on four topics: the Triratna system of meditation; conquering the hindrances; a hair-raising experience and meditation and action		0-904766-25-x	Booklet	1	
1529	Vessantara			Tales of Freedom	Wisdom from the Buddhist Tradition	2000	Windhorse Publications	Birmingham		Triratna fiction	TRI	VES	TAL	FWFO; triratna; fiction; parables;	"A collection of stories taken from early Buddhism, Tibetan Buddhism and Zen Buddhism with commentary from Vessantara."		1-899579-27-3	Paperback book	1	
1530	Vimalasara	"Mason-John, Valerie"		Broken Voices	Untouchable' Women Speak Out					Triratna books	TRI	VIM	BRO				81-8386-07-37	Paperback book	1	
1531	Vimalasara	"Mason-John, Valerie"		Broken Voices	Untouchable' Women Speak Out					Triratna books	TRI	VIM	BRO				81-8386-07-37	Paperback book	1	
1532	Vimalabandhu			The Jewel in the Cabbage	Cooking with Metaphors	2009				Triratna cooking	TRI	VIM	JEW	FWBO; triratna; cooking; work;	An exploration of cooking as a  skilful way to practice the dharma and general principles of cooking creatively.			Paperback book	1	
1533	Vishvapani			Introducing the Friends of the Western Buddhist Order			Windhorse Publications	Birmingham		Triratna books	TRI	VIS	INT	FWBO; triratna;  modern world; spiritual community; society; worldwide; movement; practice; sangharakshita	A history and introduction to the FWBO/Triratna at the turn of the Millenium.		0-904766-98-5	Paperback book	1	
1534	Vishvapani			Introducing the Friends of the Western Buddhist Order			Windhorse Publications	Birmingham		Triratna books	TRI	VIS	INT	FWBO; triratna;  modern world; spiritual community; society; worldwide; movement; practice; sangharakshita	A history and introduction to the FWBO/Triratna at the turn of the Millenium.		0-904766-98-5	Paperback book	1	
1535	Vishvapani			Introducing the Friends of the Western Buddhist Order			Windhorse Publications	Birmingham		Triratna books	TRI	VIS	INT	FWBO; triratna;  modern world; spiritual community; society; worldwide; movement; practice; sangharakshita	A history and introduction to the FWBO/Triratna at the turn of the Millenium.		0-904766-98-5	Paperback book	1	
1536	Vadanya	"Pauling, Chris"	 Shuddhavajra	Iniciacion al Budismo		1993	Tres Joyas				TRI 	VAD	INT Sp				84-88768-02-8	Paperback	1	
1537	"Hopkins, Jeffrey"		"Hopkins, Jeffrey"	Maps of the Profound part 2	Jam-yang-shay-ba's Great Exposition on Buddhist and Non-Buddhist Views on the Nature of Reality	2004	Snow Lion Publications			Tibetan	TIB	GEN	HOP			Preview copy split into two volumes	1-55939-207-x	hardbook	1	
1537	Ratnaguna			The Art of Reflection		2010	Windhorse				TRI	RAT	ART				978-1-899579-89-1	paperback	1	
1538	Paramananda			The Body		2007	Windhorse				TRI	PAR	BOD				9781-899579-77-8	paperback	1	
1539	Vessantara			The Breath		2005	Windhorse				TRI	VES	BRE				1-899579-69-9	paperback	1	
1540	Vaddhaka			The Buddha on Wall Street		2015	Windhorse				TRI	VAD	BUD				978-1-909314-44-3	paperback	1	
1541	Subhuti			Buddhism & Friendship							TRI	SUB	BUD							
1542	Vajragupta			Buddhism: Tools for Living Your Life.		2007	Windhorse				TRI	VAJ	BUD				9781-899579-74-7	paperback	1	
1543	Kamalashila			Buddhist Meditation		2012	Windhorse				TRI	KAM	BUD				9781-907314-09-4	paperback	1	
1544	Vishvapani (ed)			Challenging Times		2006	Windhorse				TRI	VIS	CHA				1-899579-76-1	paperback	1	
1545	Vimalasara	"Mason-John, Valerie"		Detox Your Heart		2017	Windhorse				TRI	VIM	DET				978-1-61429-387-3	paperback	1	
1546	Vimalasara & Paramabandhu	"Mason-John, Valerie & Paramabandhu Groves"		Eight Step Recovery		2013	Windhorse				TRI	VIM	EIG				978-1-909314-02-3	paperback	1	
1547	Nagapriya			Exploring Karma & Rebirth		2004	Windhorse				TRI	NAG	EXP				1-899579-61-3	paperback	1	
1548	Vessantara			Female Deities in Buddhism		2003	Windhorse				TRI	VES	FEM				1-899579-53-2	paperback	1	
1549	Ratnaprabha	"Cooper, Robin"		Finding the Mind		2012	Windhorse				TRI	RAT	FIN				978-1-907314-03-2	paperback	1	
1550	Vessantara			A Guide to the Boddhisattvas		2008	Windhorse				TRI	VES	GUI				9781-899579-84-6	paperback	1	
1551	Vessantara			A Guide to the Buddhas		2008	Windhorse				TRI	VES	GUI				9781-899579-83-9	paperback	1	
1552	Vessantara			The Heart		2006	Windhorse				TRI	VES	HEA							
1553	Maitreyabandhu			The Journey & The Guide		2015	Windhorse				TRI	MAI	JOU				978-1-909314-09-2	paperback	1	
1554	Maitreyabandhu			Life with Full Attention		2009	Windhorse				TRI	MAI	LIF				978-1-8995799-8-3	paperback	1	
1555	Sarvananda			Meaning in Life		2009	Windhorse				TRI	SAR	MEA				9781-899579-87-7	paperback	1	
1556	Jinananda			Meditating		2012	Windhorse				TRI	JIN	MED				978-1-907314-06-3	paperback	1	
1557	Kamalashila			Meditation: Buddhist Way							TRI	KAM	MED							
1558	Subhadramati			Not About Being Good		2013	Windhorse				TRI	SUB	NOT				978-1-909314-01-6	paperback	1	
1559	Moksananda			Ordination							TRI	MOK	ORD							
1560	Karunagita	"Burns, Sarah"		A Path for parents		2007	Windhorse				TRI	KAR	PAT				9781-899579-70-9	paperback	1	
1561	Manjusvara			The Poet's Way		2010	Windhorse				TRI	MAN	POE				9781-907314-04-9	paperback	1	
1562	Vajragupta			Sailing the Worldly Winds		2011	Windhorse				TRI	VAJ	SAI				978-1-907314-10-0	paperback	1	
1563	Akuppa	"Wigham, John"		Saving the Earth		2009	Windhorse				TRI	AKU	SAV				9781-899579-99-0	paperback	1	
1564	Sarvananda			Solitude & Loneliness		2012	Windhorse				TRI	SAR	SOL				978-1-907314-07-0	paperback	1	
1565	"Hookham, Lama Shenpen"			There's More to Dying than Death		2006	Windhorse				TIB	GEN	HOO					paperback	1	x
1566	Vajragupta			The Triratna Story		2010	Windhorse				TRI	VAJ	TRI				9781-899579-92-1	paperback	1	
1567	Vessantara			Vajra & Bell		2001	Windhorse				TRI	VES	VAJ				1-899579-41-9	paperback	1	
1568	Bodhipaksa			Vegetarianism		2016	Windhorse				TRI	BOD	VEG				978-1-909314-71-9	paperback	1	
1569	Nagapriya			Visions of Mahayana Buddhism		2009	Windhorse				TRI	NAG	VIS				9781-899-579-97-6	paperback	1	
1570	Jinananda			Warrior of Peace		2002	Windhorse				TRI	JIN	WAR				1-899579-32 x	paperback	1	
1571	Manjusvara			Writing Your Way		2005	Windhorse				TRI	MAN	WRI				9781-899579-6-9	paperback	1	
1572	Kamalashila			Buddhist Meditation		2012	Windhorse				TRI	KAM	BUD				9781-907314-09-4	paperback	1	
1573				Dhammasangani		1940	Aryasamskrti publications				PAL	ABH						hardback	1	
1574				Samantabhadra	Trilingual edition	1997	The Cororate body of the Buddha Eduacational Foundation				MAH TXT	AVA	STCUA&C					paperback	1	
1575	Analayo			Satipatthana	The Direct Path to Realization	2004	Windhorse				PAL	GEN	ANA					paperback	1	
1576	Vessantra			Meeting the Buddhas	"A Guide to Buddhas, Boddhisattvas and Tantric Deities"	1994	windhorse				TRI	VES	MEE				0-904766-53-5	paperback	1	
1577	Karma Sri Nalanda Institute			The Nalandakirti Journal	Number 1	1989	Library of Karma Sri Nalanda Institute				TIB	GEN	KAR					paperback	1	
1578	"Trungpa, Chogyam"			Cutting Through Spiritual Materialism		1987	Shambhala				TIB	GEN	TRU				0-87773-050-4	paperback	1	
1579	"Lin, Yutang Dr."			Wisdom & Compassion in Limitless-Oneness		1994					MAH  	GEN	LIN					PAPERBACK	1	
1580	Hakuin (Zenji)		"Shaw, RDM"	The Embossed Tea Kettle & other stories		1963	Allen & Unwin	London		Japanese	JAP	HAK						haerdback	1	
1581	"Rinchen, Geshe Sonam"			The Bodhisattva Vow		2000	Snow Lion Publications			Tibetan	MAH	GEN	RIN				1-55939-150-2	paperback	1	
1582	Upatissa			The Path of Frredom		1961	Dr R Roland				PAL	VIM	UPA					PAPERBACK	1	
1583	Nanamoli (Bhikkhu)			The Path of Purification	Visuddhimagga	1979	Buddhist Publication Society				PAL	VIS	NAN					hardback	1	
1584	"Nagarjuna and Pandit, Sakya"		"Olivo, Montse Castella?"	Elegant Sayings	The Staff of Wisdom; A Precious Treasury of Elegant Sayings	1977	Dharma Publishing	United States	1	Madhyamaka and Yogacara	MAH TXT	SW	NAG	tibetan; philosophy; sayings; mah?y?na; ma??ju?r?	Collection of extracts of sayings from Sakya Pandita and N?g?rjuna		0-913546-13-5	Paperback book	1	
1585	"Humphreys, Christmas (ed)"			The Wisdom of Buddhism		1960	Micheal Joseph books				GEN	HUM						hardback	1	
1586	"Gyatso, Geshe Kelsang"			The Meditation Handbook		1995	Tharpa publications				GEN	KEL					0-948006-43-9	paperback	1	
1587	"Rhys Davids, C. (Mrs)"			Buddhism	A Study of the Buddhist Norm		Williams & Norgate				GEN	RHY						hardback	1	
1588	Sangharakshita			The Meaning og Orthodoxy in Buddhism		1987	Windhorse				SANG	MEA					0-904766-27-6	booklet	1	
1589	Sangharakshita			From Genesis to the Diamond Sutra		2005	Windhorse				SANG	FRO					1-899579-72-9	paperback	1	
1590	Kamalashila	Anthony Matthews	FWBO Translations team	Meditation	Der buddhistiche Weg zu Gluck und Erkenntnis	1997	DO Publikationen   				TRI	KAM	MED G				9-783929-447033	Paperback	1	
1591	"Sjeradzan, Jacek"			Prezkrpczyz Prog Madrosci Polemiki Ciag		1997	Jacek Sieradzan				GEN	SIE	Pl				83-906641-5-1	paperback	1	
1592	"Malalasekera, G.P."			Dictionary of Pali Proper Names	Volume 1	1997	Pali Text Society	Oxford	1st		REF	PAL					860133591	Hardback		
1593	"Malalasekera, G.P."			Dictionary of Pali Proper Names	Volume 2	1997	Pali Text Society	Oxford	1st		REF	PAL					860133505	Hardback		
1594	"Malalasekera, G.P."			Dictionary of Pali Proper Names	Volume 3	1997	Pali Text Society	Oxford	1st		REF	PAL					860133613	Hardback		
1595	"Sumangala, Suriyagoda Thera"			A Graduated Pali Course	(Part1)	1994	The Buddhist Cultural Centre	Sri Lanka	2nd		REF	PAL					9559219073	Paperback		
1596	"Sumangala, Suriyagoda Thera"			A Graduated Pali Course	(Part1)	1994	The Buddhist Cultural Centre	Sri Lanka	2nd		REF	PAL					9559219073	Paperback		
1597	"Sumangala, Suriyagoda Thera"			A Graduated Pali Course	(Part1)	1994	The Buddhist Cultural Centre	Sri Lanka	2nd		REF	PAL					9559219073	Paperback		
1598	"Gair, James W. & Karunatillake, W.S"			A New Course in Reading Pali	Entering the Word of the Buddha	1998	Motilal Banarsidass	Delhi	1st		REF	PAL					8120814401	Hardback		
1599	"Geiger, Wilhem"		"Ghosh, Batakrishna"	Pali Literature and Language		1968	Oriental Books Reprint Corporation	Delhi	2nd		REF	PAL						Hardback		
1600	"Buddhadatta, A.P"			The New Pali Course	Parts 1 and 2	unknown	The Buddhist Cultural Centre	Sri Lanka	6th		REF	PAL					9559219081	Paperback		
1601	"Buddharakkhita, Ven. Acharya"			Comprehensive Pali Course	Part 1	1995	Buddha Vaccana Trust	Bangalore	1st		REF	PAL						Paperback		
1602	"Buddharakkhita, Ven. Acharya"			Comprehensive Pali Course	Part 2	1996	Buddha Vaccana Trust	Bangalore	1st		REF	PAL						Paperback		
